country_iso3,year,total_publications,top10_cited_publications,field_normalized_citation_impact,counting_method,source,snapshot_date,notes
AUS,2012,87961,33326,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ESP,2012,99801,36146,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
EST,2012,2841,1109,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
FIN,2012,19007,7404,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
FRA,2012,143392,46559,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
GBR,2012,204318,73402,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
GRC,2012,19174,7181,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
HKG,2012,16866,6682,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
HUN,2012,11953,4263,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
IDN,2012,23201,7368,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
IRL,2012,15823,5824,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ISL,2012,1362,500,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ISR,2012,19619,7468,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ITA,2012,97506,37299,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
JPN,2012,161925,57106,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
KOR,2012,86420,34474,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LTU,2012,3886,1352,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LUX,2012,2914,700,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LVA,2012,2738,919,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
MEX,2012,29829,9796,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NLD,2012,60759,22865,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NOR,2012,19817,7586,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NZL,2012,14166,5348,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
PER,2012,4317,1325,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
POL,2012,58561,18549,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
PRT,2012,25575,9451,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
RUS,2012,53558,18527,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SGP,2012,18474,7190,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SVK,2012,7901,2883,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SVN,2012,6660,2291,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SWE,2012,37517,14624,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
TUR,2012,36378,13568,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
USA,2012,742675,265262,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
AUS,2013,96341,37137,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
AUT,2013,24253,9085,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
BEL,2013,43676,14063,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
BRA,2013,125470,39527,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CAN,2013,115181,43836,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CHE,2013,46729,17814,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CHL,2013,14408,4751,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
COL,2013,21649,5713,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CRI,2013,3142,813,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CZE,2013,23849,8601,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
DEU,2013,175726,65095,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
DNK,2013,34267,10843,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ESP,2013,105324,37328,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
EST,2013,3260,1223,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
FIN,2013,20084,7825,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
FRA,2013,151923,48690,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
GBR,2013,211712,78056,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
GRC,2013,20318,7643,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
HKG,2013,17583,6985,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
HUN,2013,12548,4514,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
IDN,2013,33003,10039,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
IRL,2013,16377,6110,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ISL,2013,1445,566,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ISR,2013,21184,8217,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ITA,2013,104268,40247,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
JPN,2013,161794,56733,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
KOR,2013,92876,36947,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LTU,2013,4072,1431,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LUX,2013,3552,909,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LVA,2013,2762,870,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
MEX,2013,33147,10599,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NLD,2013,62963,24080,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NOR,2013,20533,7924,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NZL,2013,15095,5778,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
PER,2013,5511,1506,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
POL,2013,70127,22555,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
PRT,2013,27709,10142,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
RUS,2013,62002,20926,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SGP,2013,19209,7508,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SVK,2013,8921,3186,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SVN,2013,7282,2448,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SWE,2013,39019,15665,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
TUR,2013,42901,15939,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
USA,2013,768516,277825,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
AUS,2014,101518,39913,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
AUT,2014,25362,9613,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
BEL,2014,45817,14955,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
BRA,2014,141943,42830,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CAN,2014,118300,45868,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CHE,2014,48593,18922,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CHL,2014,15851,5385,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
COL,2014,22374,5979,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CRI,2014,3499,938,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CZE,2014,27645,10193,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
DEU,2014,184033,67841,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
DNK,2014,36438,11824,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ESP,2014,112467,40529,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
EST,2014,3425,1303,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
FIN,2014,21576,8527,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
FRA,2014,157044,51066,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
GBR,2014,221412,82174,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
GRC,2014,21385,7791,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
HKG,2014,19169,7694,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
HUN,2014,13874,4984,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
IDN,2014,40229,12319,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
IRL,2014,16949,6433,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ISL,2014,1554,653,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ISR,2014,21717,8454,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ITA,2014,109833,43091,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
JPN,2014,163692,57666,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
KOR,2014,96727,38363,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LTU,2014,5381,1785,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LUX,2014,3816,967,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LVA,2014,3221,998,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
MEX,2014,36332,11403,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NLD,2014,65412,25240,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NOR,2014,22347,8848,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NZL,2014,15801,6184,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
PER,2014,9836,2246,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
POL,2014,76512,25062,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
PRT,2014,30635,10965,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
RUS,2014,75321,25156,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SGP,2014,21050,8316,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SVK,2014,10632,3864,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SVN,2014,7721,2630,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SWE,2014,41928,16887,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
TUR,2014,50250,18230,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
