country,year,triadic
CZE,2020,58.292801
CZE,2021,48.857498
CZE,2022,30.6583
DEU,2012,4595.3364
DEU,2013,4910.167
DEU,2014,4658.4995
DEU,2015,4761.7002
DEU,2016,4926.9155
DEU,2017,4763.2534
DEU,2018,4198.8428
DEU,2019,4663.4922
DEU,2020,4331.6997
DEU,2021,4119.5713
DEU,2022,1758.9833
DNK,2012,282.6347
DNK,2013,265.9603
DNK,2014,305.9216
DNK,2015,326.1149
DNK,2016,305.65469
DNK,2017,309.08429
DNK,2018,325.82919
DNK,2019,301.6228
DNK,2020,378.22379
DNK,2021,320.89859
DNK,2022,110.9161
ESP,2012,231.6188
ESP,2013,231.68961
ESP,2014,255.69659
ESP,2015,292.95819
ESP,2016,328.58749
ESP,2017,293.19421
ESP,2018,297.71399
ESP,2019,348.15939
ESP,2020,324.41129
ESP,2021,300.29019
ESP,2022,125.6769
EST,2012,4.0332999
EST,2013,9.0888996
EST,2014,5.0082002
EST,2015,4.8667002
EST,2016,4.0833001
EST,2017,3.9928999
EST,2018,7.0833001
EST,2019,10.8
EST,2020,15.4262
EST,2021,5.0261998
EST,2022,3.0
FIN,2012,289.41791
FIN,2013,271.21451
FIN,2014,313.20871
FIN,2015,268.6348
FIN,2016,281.27951
FIN,2017,309.8833
FIN,2018,315.9328
FIN,2019,332.8757
FIN,2020,356.72141
FIN,2021,374.35779
FIN,2022,124.69
FRA,2012,2438.865
FRA,2013,2428.3655
FRA,2014,2497.8699
FRA,2015,2309.3647
FRA,2016,2154.1414
FRA,2017,2048.0044
FRA,2018,2054.1064
FRA,2019,2157.4475
FRA,2020,2044.8418
FRA,2021,1974.8798
FRA,2022,694.90302
GBR,2012,1705.55
GBR,2013,1829.4146
GBR,2014,1681.851
GBR,2015,1689.5101
GBR,2016,1651.655
GBR,2017,1692.6399
GBR,2018,1747.1685
GBR,2019,1926.6016
GBR,2020,1988.8843
GBR,2021,1844.1602
GBR,2022,647.72321
GRC,2012,22.263599
GRC,2013,20.7799
GRC,2014,22.783199
GRC,2015,10.3786
GRC,2016,14.954
GRC,2017,26.164101
GRC,2018,14.6333
GRC,2019,20.9018
GRC,2020,19.6845
GRC,2021,17.9631
GRC,2022,6.4749999
HKG,2012,22.861401
HKG,2013,30.729
HKG,2014,20.313601
HKG,2015,38.304199
HKG,2016,40.543301
HKG,2017,37.121799
HKG,2018,27.8188
HKG,2019,30.733299
HKG,2020,31.019899
HKG,2021,25.7798
HKG,2022,13.6667
HUN,2012,30.6616
HUN,2013,20.0151
HUN,2014,34.761101
HUN,2015,35.918201
HUN,2016,50.159901
HUN,2017,31.4506
HUN,2018,59.925301
HUN,2019,37.895699
HUN,2020,28.865499
HUN,2021,28.197701
HUN,2022,10.9675
IDN,2012,4.0886002
IDN,2013,4.4443998
IDN,2014,0.3917
IDN,2015,1.6667
IDN,2016,0.50709999
IDN,2017,3.869
IDN,2018,1.0
IDN,2019,4.1904998
IDN,2020,2.1666999
IDN,2021,4.5999999
IDN,2022,0.75
IRL,2012,74.3498
IRL,2013,94.115799
IRL,2014,107.2615
IRL,2015,100.2951
IRL,2016,105.4067
IRL,2017,112.2963
IRL,2018,116.2632
IRL,2019,158.2426
IRL,2020,160.29131
IRL,2021,145.9597
IRL,2022,74.325897
ISL,2012,1.7143
ISL,2013,2.4286001
ISL,2014,0.91670001
ISL,2015,4.4583001
ISL,2016,2.1905
ISL,2017,4.4166999
ISL,2018,5.1680002
ISL,2019,13.3
ISL,2020,3.9721999
ISL,2021,8.1083002
ISL,2022,3.0
ISR,2012,400.68451
ISR,2013,437.7551
ISR,2014,456.99969
ISR,2015,516.58459
ISR,2016,496.90991
ISR,2017,604.49152
ISR,2018,604.73499
ISR,2019,723.5257
ISR,2020,672.34369
ISR,2021,612.09918
ISR,2022,283.40869
ITA,2012,724.71033
ITA,2013,772.79199
ITA,2014,818.79559
ITA,2015,828.19397
ITA,2016,947.73657
ITA,2017,877.89838
ITA,2018,830.23059
ITA,2019,943.07233
ITA,2020,893.46503
ITA,2021,894.19519
ITA,2022,371.76709
JPN,2012,18657.023
JPN,2013,17657.408
JPN,2014,17624.035
JPN,2015,17798.676
JPN,2016,18094.381
JPN,2017,18391.814
JPN,2018,17827.031
JPN,2019,17567.83
JPN,2020,16507.658
JPN,2021,16853.521
JPN,2022,9517.7861
KOR,2012,2493.6277
KOR,2013,2547.5532
KOR,2014,2212.9453
KOR,2015,2262.5159
KOR,2016,2402.7727
KOR,2017,2930.9937
KOR,2018,3087.0278
KOR,2019,3337.4844
KOR,2020,3925.3767
KOR,2021,4338.2217
KOR,2022,2324.6106
LTU,2012,6.3167
LTU,2013,4.3000002
LTU,2014,4.7610998
LTU,2015,3.5713999
LTU,2016,6.6666999
LTU,2017,4.75
LTU,2018,9.7610998
LTU,2019,9.6999998
LTU,2020,4.125
LTU,2021,5.0244002
LTU,2022,2.2221999
LUX,2012,21.118601
LUX,2013,14.6619
LUX,2014,19.359501
LUX,2015,22.8311
LUX,2016,34.791801
LUX,2017,22.0909
LUX,2018,19.502399
LUX,2019,28.591999
LUX,2020,39.4198
LUX,2021,31.9786
LUX,2022,9.5857
LVA,2012,2.3
LVA,2013,3.0
LVA,2014,0.66670001
LVA,2015,3.9333
LVA,2016,5.1999998
LVA,2017,3.5
LVA,2018,8.0
LVA,2019,2.0713999
LVA,2020,2.6078
LVA,2021,7.4000001
LVA,2022,1.0
MEX,2012,15.8071
MEX,2013,19.5313
MEX,2014,28.340099
MEX,2015,29.9079
MEX,2016,24.792801
MEX,2017,22.367901
MEX,2018,15.5539
MEX,2019,22.4363
MEX,2020,23.6639
MEX,2021,23.753099
MEX,2022,11.7833
NLD,2012,1040.6886
NLD,2013,1138.1542
NLD,2014,1287.9132
NLD,2015,1137.4806
NLD,2016,962.3421
NLD,2017,914.28162
NLD,2018,896.77283
NLD,2019,940.64789
NLD,2020,933.883
NLD,2021,848.79468
NLD,2022,298.1409
NOR,2012,106.3554
NOR,2013,103.4501
NOR,2014,109.9357
NOR,2015,100.8833
NOR,2016,144.4792
NOR,2017,118.825
NOR,2018,104.3976
NOR,2019,151.3175
NOR,2020,145.97
NOR,2021,147.04401
NOR,2022,41.862598
NZL,2012,104.6121
NZL,2013,70.414497
NZL,2014,100.6309
NZL,2015,70.601799
NZL,2016,59.089298
NZL,2017,58.3381
NZL,2018,48.176201
NZL,2019,77.838898
NZL,2020,70.740303
NZL,2021,69.420303
NZL,2022,14.6125
PER,2012,0.0
PER,2013,0.33329999
PER,2014,1.5333
PER,2015,2.0
PER,2016,0.70240003
PER,2017,1.0
PER,2018,0.0
PER,2019,1.0714
PER,2020,0.25
PER,2021,0.80000001
PER,2022,0.25
POL,2012,68.961998
POL,2013,59.907902
POL,2014,53.8302
POL,2015,81.240501
POL,2016,76.468903
POL,2017,73.990997
POL,2018,67.374199
POL,2019,65.827797
POL,2020,76.189903
POL,2021,78.614799
POL,2022,36.860001
PRT,2012,23.007601
PRT,2013,20.7803
PRT,2014,31.9849
PRT,2015,33.4282
PRT,2016,49.755798
PRT,2017,36.856701
PRT,2018,36.107101
PRT,2019,44.245701
PRT,2020,31.656799
PRT,2021,41.844799
PRT,2022,18.222099
RUS,2012,95.744904
RUS,2013,77.916
RUS,2014,111.4497
RUS,2015,90.4104
RUS,2016,116.3639
RUS,2017,130.8463
RUS,2018,127.486
RUS,2019,101.9817
RUS,2020,77.190598
RUS,2021,79.785004
RUS,2022,22.2885
SGP,2012,107.4446
SGP,2013,130.1627
SGP,2014,148.92799
SGP,2015,121.1556
SGP,2016,136.7182
SGP,2017,139.9068
SGP,2018,173.50571
SGP,2019,203.8745
SGP,2020,192.21581
SGP,2021,220.74789
SGP,2022,95.076599
SVK,2012,8.3909998
SVK,2013,9.7217999
SVK,2014,7.9509001
SVK,2015,9.1667004
SVK,2016,10.9792
SVK,2017,9.5985003
SVK,2018,9.9547997
SVK,2019,17.829599
SVK,2020,16.143101
SVK,2021,21.0667
SVK,2022,6.3333001
SVN,2012,9.75
SVN,2013,14.4929
SVN,2014,13.4333
SVN,2015,6.5500002
SVN,2016,9.3667002
SVN,2017,14.081
SVN,2018,13.1364
SVN,2019,15.281
SVN,2020,22.245199
SVN,2021,9.7810001
SVN,2022,11.9667
SWE,2012,662.3349
SWE,2013,587.14569
SWE,2014,677.04749
SWE,2015,731.97131
SWE,2016,780.95789
SWE,2017,813.32391
SWE,2018,798.33063
SWE,2019,778.13287
SWE,2020,751.5097
SWE,2021,686.3421
SWE,2022,270.93759
TUR,2012,30.9846
TUR,2013,41.533298
TUR,2014,27.4944
TUR,2015,49.466702
TUR,2016,64.590302
TUR,2017,53.8815
TUR,2018,74.515297
TUR,2019,67.844803
TUR,2020,61.559502
TUR,2021,33.904099
TUR,2022,13.2333
USA,2012,13786.93
USA,2013,14848.282
USA,2014,13724.667
USA,2015,13740.107
USA,2016,13477.843
USA,2017,13248.436
USA,2018,13775.96
USA,2019,14852.271
USA,2020,15028.13
USA,2021,13946.411
USA,2022,6304.5498
